Dokument ID,Jahr_ED,Gattungslabel_ED_normalisiert,Medium_ED,Medientyp_ED,seriell,Gender
00090-00,1829,N,Urania. Taschenbuch auf das Jahr 1830,Taschenbuch,False,unbekannt
00091-00,1829,N,Urania. Taschenbuch auf das Jahr 1830,Taschenbuch,False,f
00092-00,1814,E,Aglaia. Jahrbuch für Frauenzimmer auf 1815,Taschenbuch,False,m
00093-00,1814,E,Aglaia. Jahrbuch für Frauenzimmer auf 1815,Taschenbuch,False,
00094-00,1814,E,Aglaia. Jahrbuch für Frauenzimmer auf 1815,Taschenbuch,False,m
00095-00,1814,0E,Aglaia. Jahrbuch für Frauenzimmer auf 1815,Taschenbuch,False,f
00096-00,1815,0E,Aglaia. Jahrbuch für Frauenzimmer auf 1816,Taschenbuch,False,m
00097-00,1815,XE,Aglaia. Jahrbuch für Frauenzimmer auf 1816,Taschenbuch,False,f
00098-00,1821,E, Aglaja. Ein Taschenbuch für das Jahr 1822,Taschenbuch,False,f
00099-00,1821,E, Aglaja. Ein Taschenbuch für das Jahr 1822,Taschenbuch,False,f
00100-00,1821,E, Aglaja. Ein Taschenbuch für das Jahr 1822,Taschenbuch,False,f
00101-00,1821,E, Aglaja. Ein Taschenbuch für das Jahr 1822,Taschenbuch,False,f
00102-00,1830,N,Aglaja. Ein Taschenbuch für das Jahr 1831,Taschenbuch,False,f
00103-00,1830,Drama,Aglaja. Ein Taschenbuch für das Jahr 1831,Taschenbuch,False,f
00104-00,1830,0E,Aglaja. Ein Taschenbuch für das Jahr 1831,Taschenbuch,False,f
00105-00,1810,N,Minerva. Taschenbuch auf das Jahr 1811,Taschenbuch,False,m
00108-00,1842,N,Österreichischer Novellen-Almanach für 1843,Taschenbuch,False,f
00115-00,1828,N,Taschenbuch für Damen auf das Jahr 1829,Taschenbuch,False,m
00117-00,1831,N,Aglaja. Ein Taschenbuch für das Jahr 1832,Taschenbuch,False,m
00118-00,1831,E,Aglaja. Ein Taschenbuch für das Jahr 1832,Taschenbuch,False,m
00119-00,1830,N,Urania. Ein Taschenbuch für das Jahr 1831,Taschenbuch,False,m
00120-00,1830,E,Urania. Ein Taschenbuch für das Jahr 1831,Taschenbuch,False,m
00121-00,1820,0E,Aglaja. Ein Taschenbuch für das Jahr 1821.,Taschenbuch,False,m
00122-00,1820,E,Aglaja. Ein Taschenbuch für das Jahr 1821.,Taschenbuch,False,m
00123-00,1820,E,Aglaja. Ein Taschenbuch für das Jahr 1821.,Taschenbuch,False,
00124-00,1820,E,Aglaja. Ein Taschenbuch für das Jahr 1821.,Taschenbuch,False,m
00125-00,1822,E,Aglaja. Ein Taschenbuch für das Jahr 1823.,Taschenbuch,False,m
