,rom_setting,length,danger,fear,density,centralization,fraction_dirspeech,fraction_indirspeech,fraction_fid
00675-00,0.03269081005889758,0.7907262361782965,0.1253650943561048,0.3228738301982849,0.309666614737498,0.8326374027872018,0.5155144829199012,0.29894711773141597,0.01222905603390335
00465-00,0.3416076019725549,0.0361526769171444,0.0905134899912903,0.27039006736640026,0.6102418207681366,0.49369369369369365,0.40638078383073845,0.1617216522091254,0.047893106697132815
00696-00,0.037532549789094115,0.10261570745067898,0.0,0.0,0.0,0.0,0.2492530783501694,0.2687393932689293,0.16545762162937017
00225-00,0.15849281228589607,0.0012268350692587354,0.2621359223300059,0.5736941921564535,0.5,0.5,0.5033019739279547,0.30968399283532466,0.03985838318682396
00722-00,0.024661758091125537,0.0602047190230748,0.0436331255565452,0.2626335707925194,0.6584699453551912,0.42372881355932207,0.35057446158262584,0.12922798989756393,0.17200687762826158
00247-00,0.08605778368097007,0.020297583438650985,0.2149308755760202,0.3364608625274596,0.7187153931339978,0.3540069686411149,0.4604012107827132,0.11256865959920784,0.1916956516290949
00398-00,0.09551093568453184,0.026143868531878566,0.2368384303867855,0.24789956449685877,0.4861660079051383,0.6753246753246753,0.4427694510498279,0.21694401016170847,0.1926847669179836
00426-00,0.0,0.0010828899427256869,0.5360303413399307,0.3607701335363335,0.9,0.19999999999999993,0.2733794647586531,1.0,0.0
00027-00,0.11460832167741236,0.04814238153910356,0.0,0.0,0.0,0.0,0.3908327308892618,0.4668428536760855,0.03640624534943282
00492-00,0.0,0.025257747615331082,0.0,0.0,0.0,0.0,0.38464605866665497,0.32354578278839585,0.11610595557727336
00656-00,0.01933152413835871,0.10944847886977985,0.0,0.0,0.0,0.0,0.5246812495891856,0.25006665576212106,0.10647420229480145
00136-00,0.033427427155911946,0.02572391852969958,0.0,0.0,0.0,0.0,0.40042879355190203,0.26947164971905,0.03053430454070824
00653-00,0.05942653716606567,0.1024466709718145,0.0,0.0,0.0,0.0,0.4131302955801131,0.258033479203945,0.16126783965070637
00338-00,0.024025072123303633,0.05800460360285408,0.1307425817140861,0.4464546011107382,0.4227642276422764,0.7273170731707317,0.09139704488122513,0.3664424728975926,0.06712201401331433
00196-00,0.0,0.008355420326372464,0.0,0.0,0.0,0.0,0.5913875563489576,0.2534109099818555,0.005822954799127637
00768-00,0.041835052291844796,0.021857209075674202,0.2230187176423417,0.24592706071778783,0.4621848739495798,0.6844919786096256,0.44655267337276316,0.2509683157667466,0.02474768235591576
00735-00,0.13370970862364778,0.037401962143752326,0.0,0.0,0.0,0.0,0.5050163880037124,0.449718961665307,0.07711708752186534
00533-00,0.0,0.02728750595919618,0.0,0.0,0.0,0.0,0.16294865017082713,0.24194743350180697,0.36375503828092504
00758-00,0.041835052291844796,0.007415154912688697,0.0,0.0,0.0,0.0,0.3214418945993614,0.41327550308661826,0.05855186145446151
00548-00,0.05688324845370286,0.6919600704142582,0.1252028324876049,0.30691981770277,0.3535071095341105,0.7772905825079738,0.38614787126035055,0.2649461505445766,0.025589288397171794
00566-00,0.040145019375614474,0.08340365514973595,0.0791137026239093,0.21222573330407427,0.4310288867250892,0.7004995004995005,0.6126790787554993,0.2619600759038708,0.14763121498632684
00632-00,0.007179044758316662,0.23463847983381603,0.0,0.0,0.0,0.0,0.5349735673720739,0.42439364939394764,0.02295080053306906
00625-00,0.06872908332086661,0.031976947650194855,0.0978165938864634,0.24866256593260386,0.7352941176470589,0.36,0.4270037206090731,0.32039174910328505,0.2064558017575249
00261-00,0.0,0.006245105535548504,0.4231536926147133,0.47545947531460314,0.5238095238095238,0.7999999999999999,0.4086289500178607,0.09822022038158024,0.0044507385737992495
